candidate,max_regret,mean_regret,p90_regret,satisficing_frac_regret_le_0p2
cand_44,0.6026271292173908,0.16552683813886035,0.3356649673922488,0.6147186147186147
cand_110,0.6034629173385424,0.14467200829913526,0.3138012657851271,0.7272727272727273
cand_25,0.6042334270757492,0.16749668051792366,0.339064207499704,0.6103896103896104
cand_93,0.6056114124054366,0.14670035538890183,0.3173759602684797,0.7142857142857143
cand_05,0.6061103466309317,0.1699226949606382,0.34308456150330424,0.5974025974025974
cand_75,0.6070373569363581,0.14856589882116078,0.32037978620516305,0.70995670995671
cand_56,0.6075762751868311,0.14984518191104454,0.32149240517669253,0.7056277056277056
cand_36,0.6079535065337531,0.15144685480457457,0.3226993356588512,0.6926406926406926
cand_15,0.6095906537003025,0.15315713957210533,0.32461123173902173,0.6796536796536796
cand_94,0.6537139638371748,0.17550580295056342,0.36289959659717397,0.6060606060606061
cand_76,0.6601486988817955,0.18030753081262382,0.36954562288253673,0.5844155844155844
cand_78,0.6630634267166013,0.19940734084868464,0.3942833532913955,0.5281385281385281
cand_61,0.6666045713922286,0.20183114803047508,0.3971830139428228,0.5238095238095238
cand_57,0.6699052088782238,0.18759966943202505,0.377909201086671,0.5670995670995671
cand_43,0.6701785493119485,0.20518528949242124,0.40020133654308926,0.5151515151515151
cand_24,0.6734038805553088,0.2082274938936926,0.402961074766386,0.5064935064935064
cand_04,0.6779775458785462,0.2123992548429549,0.4072535506714763,0.48917748917748916
cand_37,0.6847026397897402,0.19882861656663492,0.3918016980949889,0.5324675324675324
cand_16,0.7098106620706113,0.21710982981319144,0.4159884102139431,0.48484848484848486
cand_77,0.7151844008192743,0.21754409789162973,0.4189603551328919,0.48917748917748916
cand_60,0.7214789914858792,0.23654531166833262,0.44761514914745765,0.43722943722943725
cand_42,0.728442634061647,0.24193886605613632,0.4568184773368708,0.43722943722943725
cand_23,0.7353045344901488,0.24749204222934582,0.46617559197449643,0.42857142857142855
cand_58,0.7375585023055449,0.23495203063026945,0.44118106246429684,0.4458874458874459
cand_03,0.7439906842734412,0.25456722547387034,0.47790857266601877,0.4199134199134199
cand_38,0.7727773694723132,0.2638297379872262,0.48137314016375876,0.38095238095238093
cand_41,0.7947353469460982,0.28620674416881886,0.5230748998604138,0.3722943722943723
cand_22,0.8054430621402675,0.2946762962125101,0.5346156479437225,0.33766233766233766
cand_59,0.8083300575618922,0.2916766941708864,0.5265545581677993,0.33766233766233766
cand_02,0.8189181978679007,0.30540114948211716,0.5522314032449035,0.33766233766233766
cand_39,0.8543433550984593,0.335841146619971,0.5847634067511321,0.2857142857142857
cand_17,0.8619836921017596,0.34459016561224026,0.5982551244853144,0.2813852813852814
cand_21,0.8845339221998152,0.3505053375817821,0.617160055221714,0.2857142857142857
cand_40,0.8941668091332078,0.38069360895543297,0.6598587815628986,0.2554112554112554
cand_01,0.9035250706013334,0.3656511033675057,0.6417895653299727,0.2857142857142857
cand_18,0.9178731881953553,0.4093853876656545,0.7098733637157297,0.23376623376623376
cand_19,0.9632867933543791,0.4697409333215448,0.8050911083391638,0.19480519480519481
cand_20,0.9999981649823245,0.5242858961309855,0.8825198893620834,0.16883116883116883
cand_00,1.0001342657620802,0.437340621018438,0.7468812569999989,0.21645021645021645
